frame,seq,t_mono,x,y,contrast,moat,crowd
3,3,309.410724,387,333,53,8,18
17,17,309.970456,857,1023,115,19,16
19,19,310.050415,825,1023,120,6,16
30,30,310.490203,929,0,65,23,2
31,31,310.530308,204,250,71,8,18
31,31,310.530308,224,184,50,6,17
33,33,310.610248,224,176,52,11,18
35,35,310.690105,225,170,52,3,17
55,55,311.489901,287,990,64,10,14
115,115,313.889477,1172,738,54,6,19
115,115,313.889477,1192,745,53,23,20
299,299,324.244857,1061,1023,154,20,5
310,310,324.684941,1103,1023,147,37,9
361,361,326.723945,1267,594,103,21,10
362,362,326.764830,1254,596,88,14,11
363,363,326.804061,1243,594,112,42,6
364,364,326.844044,1230,595,166,79,5
365,365,326.884065,1221,594,170,77,6
366,366,326.923774,1215,595,140,14,5
367,367,326.963792,1208,595,142,42,8
367,367,326.963792,1212,585,86,21,8
368,368,327.003851,1200,594,205,70,5
368,368,327.003851,1199,586,107,11,5
369,369,327.043756,1198,594,234,63,6
369,369,327.043756,1204,585,119,2,6
370,370,327.083778,1197,594,245,58,11
370,370,327.083778,1196,584,141,17,13
371,371,327.123901,1196,595,199,36,11
371,371,327.123901,1192,587,127,25,13
371,371,327.123901,1193,604,106,9,9
372,372,327.163809,1190,594,246,64,9
372,372,327.163809,1198,601,110,27,8
373,373,327.203962,1190,594,239,52,8
373,373,327.203962,1189,584,140,18,8
374,374,327.244092,1190,594,247,66,12
374,374,327.244092,1189,584,142,26,12
374,374,327.244092,1198,601,90,24,12
375,375,327.283859,1189,594,218,51,18
375,375,327.283859,1197,602,122,22,16
376,376,327.323902,1188,594,254,78,16
376,376,327.323902,1197,601,128,33,18
377,377,327.363685,1190,594,254,48,13
378,378,327.404104,1192,594,250,73,10
378,378,327.404104,1191,584,112,3,10
379,379,327.443582,1192,596,246,56,11
379,379,327.443582,1201,603,78,6,18
380,380,327.483764,1192,598,254,76,19
384,384,327.643680,1208,609,83,18,18
385,385,327.683823,1202,600,251,93,20
385,385,327.683823,1202,610,132,17,20
387,387,327.763469,1218,603,71,19,19
389,389,327.843641,1226,582,107,23,20
392,392,327.963625,1225,576,95,21,15
392,392,327.963625,1236,594,82,32,16
393,393,328.003476,1228,582,243,61,18
393,393,328.003476,1238,591,80,22,18
394,394,328.043478,1238,586,89,33,15
395,395,328.083448,1236,569,101,4,15
395,395,328.083448,1237,585,63,6,15
396,396,328.123514,1228,572,240,101,13
396,396,328.123514,1238,579,68,19,12
397,397,328.163488,1225,570,252,75,18
397,397,328.163488,1223,561,102,9,18
397,397,328.163488,1236,577,89,20,17
397,397,328.163488,1233,560,72,6,17
398,398,328.203373,1234,575,92,15,20
399,399,328.243295,1225,566,225,46,17
400,400,328.283274,1227,562,244,89,18
400,400,328.283274,1238,569,66,10,15
404,404,328.443424,1065,1023,188,37,2
405,405,328.483366,1064,1023,191,18,6
406,406,328.523285,1059,1023,132,22,8
407,407,328.563283,1044,1021,189,25,13
407,407,328.563283,1056,1018,144,7,13
407,407,328.563283,1073,1023,117,30,13
407,407,328.563283,1066,1021,73,4,13
409,409,328.643219,1235,546,215,66,16
409,409,328.643219,1234,536,82,15,16
410,410,328.683163,1026,1019,189,24,13
410,410,328.683163,1065,1023,189,14,14
410,410,328.683163,1046,1015,174,17,14
410,410,328.683163,1038,1017,151,23,14
411,411,328.723155,1225,550,254,59,17
411,411,328.723155,1223,540,119,20,17
411,411,328.723155,1234,557,57,8,17
412,412,328.763150,1222,550,236,74,20
412,412,328.763150,1022,1021,182,12,16
412,412,328.763150,1034,1018,165,25,16
412,412,328.763150,1051,1023,108,25,16
412,412,328.763150,1233,558,82,26,20
413,413,328.803265,1220,554,236,92,16
413,413,328.803265,1041,1023,169,11,3
413,413,328.803265,1230,561,68,23,16
414,414,328.843025,1222,560,152,21,20
414,414,328.843025,1234,568,65,3,20
414,414,328.843025,1232,552,55,4,20
414,414,328.843025,1045,1023,51,14,2
417,417,328.962946,1250,580,120,12,20
418,418,329.002952,1258,584,234,64,17
421,421,329.122983,1276,610,144,55,18
421,421,329.122983,1275,600,98,8,18
422,422,329.163069,1279,616,189,98,12
423,423,329.203006,1279,622,203,102,15
424,424,329.242975,1278,627,188,104,7
424,424,329.242975,1277,618,76,3,7
425,425,329.282945,1279,635,160,54,11
427,427,329.363049,1278,646,160,19,18
428,428,329.402822,1272,650,187,39,17
428,428,329.402822,1270,642,82,2,18
429,429,329.442957,1270,654,252,105,18
430,430,329.483090,1266,659,169,23,14
430,430,329.483090,314,428,56,34,6
432,432,329.562878,1253,652,112,37,19
433,433,329.602836,1251,664,184,10,18
434,434,329.642698,1246,666,177,40,12
435,435,329.682950,1238,668,161,11,13
435,435,329.682950,1247,659,57,6,12
435,435,329.682950,1249,676,51,17,13
436,436,329.722883,1233,670,176,21,11
436,436,329.722883,1231,661,93,10,11
437,437,329.763052,1230,668,247,96,9
437,437,329.763052,1242,675,60,3,11
438,438,329.802633,1224,669,170,23,9
439,439,329.842724,1216,667,164,13,15
439,439,329.842724,1225,674,79,4,15
439,439,329.842724,1215,676,68,6,15
440,440,329.882639,1210,666,172,64,12
441,441,329.922760,1206,664,198,56,10
441,441,329.922760,1206,655,69,4,10
441,441,329.922760,1216,671,67,11,14
446,446,330.122588,1180,611,83,11,17
446,446,330.122588,1181,621,82,6,17
447,447,330.162640,1180,594,91,20,13
448,448,330.202629,1179,578,72,8,15
449,449,330.242539,1182,559,61,5,14
450,450,330.282532,1197,540,67,13,14
450,450,330.282532,1191,549,65,11,14
450,450,330.282532,1187,1023,63,16,13
451,451,330.322512,1204,531,107,41,6
452,452,330.362620,1213,526,142,81,7
453,453,330.402664,1219,526,159,72,10
454,454,330.442358,1224,530,154,70,10
454,454,330.442358,1209,1023,121,4,6
454,454,330.442358,1227,1023,62,19,7
455,455,330.482413,1224,534,170,67,14
455,455,330.482413,1225,1023,79,24,10
456,456,330.522272,1222,536,127,33,13
457,457,330.562403,1220,538,153,53,15
457,457,330.562403,1219,529,73,16,8
458,458,330.602405,1214,544,92,6,12
458,458,330.602405,1224,550,51,24,12
459,459,330.642523,1203,554,77,10,9
461,461,330.722394,1190,564,137,26,8
461,461,330.722394,1200,570,51,18,8
462,462,330.762375,1186,565,98,26,11
463,463,330.802379,1172,574,75,15,10
464,464,330.842352,1160,584,63,9,7
464,464,330.842352,1168,576,50,2,7
465,465,330.882406,1145,594,69,19,6
466,466,330.922285,1129,606,60,8,15
467,467,330.962255,1118,614,59,3,9
468,468,331.002322,1101,622,74,18,7
469,469,331.042411,1093,625,79,8,8
470,470,331.082278,1083,631,85,33,5
471,471,331.122158,1072,632,66,17,8
472,472,331.162146,1061,636,78,15,4
473,473,331.202327,1053,642,134,37,3
474,474,331.242427,1051,645,211,93,3
475,475,331.282280,1047,646,124,68,4
476,476,331.322294,1039,646,104,15,4
477,477,331.362318,1027,646,86,28,3
478,478,331.402480,1013,644,78,34,3
479,479,331.522384,957,642,66,15,7
480,480,331.562198,941,641,79,37,7
481,481,331.602242,925,640,80,39,9
482,482,331.642331,911,642,108,57,6
483,483,331.682064,901,642,183,98,3
484,484,331.722059,894,644,207,101,3
485,485,331.762073,887,643,81,12,3
486,486,332.081912,863,648,207,139,5
487,487,332.121831,861,650,193,87,5
488,488,332.161734,861,650,207,56,6
489,489,332.201840,861,649,206,140,5
490,490,332.241841,859,648,204,86,6
491,491,332.281748,861,647,187,102,7
492,492,332.321895,868,647,194,91,6
493,493,332.362028,876,643,118,6,7
494,494,332.401864,877,640,160,32,7
495,495,332.441649,881,637,204,118,7
496,496,332.481717,883,636,202,132,8
496,496,332.481717,890,629,50,20,8
497,497,332.521722,887,634,175,23,6
498,498,332.561733,888,632,189,91,6
499,499,332.601803,887,629,202,69,6
500,500,332.641778,888,628,202,101,8
501,501,332.681624,889,626,192,61,5
502,502,332.721727,884,621,191,58,7
503,503,332.761390,880,620,201,10,8
504,504,332.801651,880,622,202,33,9
504,504,332.801651,889,627,52,5,9
505,505,332.841629,881,621,202,46,6
506,506,332.881516,876,617,200,29,7
507,507,332.921527,871,616,201,19,6
508,508,332.961511,871,617,201,70,5
509,509,333.001507,869,617,201,39,7
509,509,333.001507,880,622,54,9,7
510,510,333.041438,867,615,201,23,6
511,511,333.081310,866,613,197,37,6
511,511,333.081310,876,619,59,23,6
512,512,333.121437,866,612,202,88,6
513,513,333.161459,864,611,201,31,8
514,514,333.201541,862,609,200,23,7
514,514,333.201541,872,616,58,35,7
515,515,333.241294,859,608,158,3,11
516,516,333.281396,843,608,152,32,11
517,517,333.321428,830,606,166,90,7
518,518,333.361315,813,603,107,15,11
519,519,333.401427,799,604,159,38,12
520,520,333.441422,786,605,146,4,10
521,521,333.481294,777,604,197,19,6
522,522,333.521405,769,602,197,70,7
523,523,333.561408,761,602,196,23,6
524,524,333.601275,753,602,195,29,7
525,525,333.641287,746,601,192,48,9
526,526,333.681190,740,600,195,69,6
527,527,333.721038,733,598,195,55,8
528,528,333.761197,727,598,193,49,12
529,529,333.801032,722,596,195,61,6
530,530,333.841302,716,596,193,2,8
531,531,333.881309,709,597,160,27,6
532,532,333.921216,706,599,185,63,5
533,533,333.961035,703,599,192,60,9
534,534,334.001055,697,600,192,4,9
535,535,334.041537,691,600,191,103,5
536,536,334.081061,687,600,191,75,8
537,537,334.121075,682,600,190,73,6
538,538,334.160815,675,601,153,41,10
539,539,334.201226,670,599,178,46,4
540,540,334.241113,663,597,156,54,7
541,541,334.281124,655,596,135,56,10
542,542,334.320993,650,594,189,91,5
543,543,334.360954,649,593,171,90,5
544,544,334.400957,645,589,149,24,5
545,545,334.440846,639,588,188,103,6
546,546,334.480836,637,586,160,136,6
547,547,334.520987,633,581,142,33,7
548,548,334.561070,629,576,164,98,5
549,549,334.600933,626,574,160,119,6
550,550,334.640988,623,572,96,32,3
551,551,334.680710,623,565,177,100,4
552,552,334.720968,621,561,159,48,3
553,553,334.760855,620,561,154,52,3
555,555,334.840901,615,551,187,104,3
556,556,334.880921,611,551,186,76,6
557,557,334.920737,612,550,186,83,4
558,558,334.960785,610,550,186,101,4
559,559,335.000378,603,550,185,97,4
560,560,335.040557,600,553,186,96,4
561,561,335.080773,602,554,186,88,3
562,562,335.120672,600,553,186,123,4
563,563,335.161015,597,553,186,75,4
564,564,335.200811,597,554,186,60,7
565,565,335.240528,597,555,186,67,6
566,566,335.280390,598,553,186,58,4
